gama1,gama2,beta1,beta2,N1,N2,mn,Fn,kesai,an,E,nu,Pmax,a_len
2.672796806918542,2.3975483194762806,-11.439727635719741,5.47111917134702,26,49,2.135643981569113,91888.15525375084,-8.899258338008508,22.857119490527204,218317.5172269292,0.3048673148872094,3051.4165413646087,19.158941229983395
3.8666952057811548,2.316366058058045,-13.170787441329999,10.911685639623073,29,87,4.857247326785755,21562.367250220545,-8.979121190265976,21.151016889600655,218590.23464925747,0.21233333843574562,887.3706874807607,18.02177687888238
2.3737958789779126,2.382663044208197,0.6238526433870462,20.367948853010375,19,76,7.309348456114342,82676.74069673526,-4.17445943569247,19.832902577440393,202810.3743279972,0.3494074122520452,1038.9279837884344,54.54921087754621
1.9447317356110083,6.485474687227576,15.31710961466905,-29.752382614990374,25,59,7.876391022643954,92997.77718300934,2.20447723921113,21.545799642470506,184354.13663675575,0.30501912505009954,676.771312272852,81.00018425106454
2.544124105648464,7.10456886469259,-7.239348062997635,-6.761718356025206,39,75,4.315142244613739,19540.71392940118,3.5619349051724285,19.87682300327691,185871.55444700178,0.3435875906649436,613.429449913251,33.436148544052394
1.7214610578544443,2.0788520011675655,5.121032384059909,15.901070917999057,32,84,6.741398213245352,19089.414885152033,-1.36371872138802,20.451696056253013,207385.52013259783,0.2206309814970304,441.46421581202804,45.438004318294134
3.0779429366936153,7.717674556735992,11.007697971174295,-3.5672622211263594,27,89,5.297992776852779,85801.33448634238,1.4104654520928719,21.779020983481132,211012.0500568984,0.38418739418722436,964.2560716637456,65.18107568729214
3.5697414387481636,6.387283599247662,-20.513473874986303,14.428701227701964,33,75,4.023154616724044,97168.3072908301,-7.578359482945803,19.451046728932695,201932.5405846395,0.22507420195676392,1484.010964846811,31.116621722607217
0.37245751198061827,3.9851774444479235,26.36085791064032,-6.191308579496532,18,42,2.623843863957637,53685.63090431034,-7.755055142794763,19.820178142951328,217029.6001079082,0.26125508863983404,2473.5764711479715,17.627101450201376
2.2150609730740807,7.13624986865815,25.024525399478335,-4.791663727438046,28,60,6.083461035660057,51569.206594103925,-7.646207070186961,21.556211713351157,186754.81725613237,0.36793461343025624,977.2107110946238,27.63665186123318
1.6352850126216998,3.8040452143985553,1.0869906790924198,-4.800182364422913,22,78,7.123813879619813,47732.1905142495,-4.895779102462415,22.634322929132214,195721.73860772618,0.37945573338619043,821.838515114643,40.83838150490257
0.438142187233301,2.5047713785503087,28.554043986368548,-9.300533586934431,19,72,5.183553668874719,26479.866344239214,6.2097580853479535,22.78679723467379,205708.67532938882,0.20571975668261294,815.7631844813023,25.74044863862892
2.300229596698971,4.400376672451804,25.713093136690198,13.194358960857585,19,43,5.25941239031399,51113.14235417462,-3.24238718046975,22.272909570629952,187265.4149382432,0.2661493536510218,917.8373263602665,46.358638373786086
3.02336624388276,5.209568810305411,2.6011052973374262,-21.68931103580489,28,68,4.089932783494116,32720.322036090933,-8.660372632146439,20.944225849245907,187753.96043640096,0.22894921359199627,1096.9204199204369,20.718594179090392
1.1478262037436422,6.491896593640881,26.70812810573002,-11.798974304844716,35,70,4.673293512319112,15473.994325083744,-2.4256729638511594,23.5739367519827,180697.17335740756,0.34798856166403097,405.6049752869617,42.67959336955901
2.3773066952138886,4.794395313925216,-27.149879608594983,16.28441674606549,25,89,4.263799099027357,22431.659016257625,-2.696742273863661,23.666026127396044,184761.9064082223,0.3314057567362712,532.1615594100879,44.86210426748276
1.650919471417729,5.73478384849885,18.175829359042453,22.00314347227833,20,50,3.6517974185865003,43053.05272860154,3.5787860631356967,21.185987894740602,206177.25954724848,0.390268464872947,1292.6755997320054,35.036173510430295
2.4213447864517947,7.73098652571338,-9.532021206426574,-14.129760348702446,17,52,3.0103302358198065,32607.88412901843,6.398926606241659,24.3067853411725,208903.97505785042,0.3850039555035666,1677.4733736553917,20.019890576538657
1.8050089149226005,5.140681289812284,16.833707727063178,15.276216358525119,24,80,7.313963181235533,84619.56004704072,8.790945068043193,24.89840665818171,206987.589209133,0.3188970218817233,1048.8640929023236,33.85402232783176
0.13968627305530873,3.7666469913523613,25.14878823318655,-14.989829411386273,24,89,7.132855142958758,19793.636746680535,9.977629178960928,18.155638040847325,209886.30536573802,0.39332951336253663,787.4641442253852,17.59373247943484
4.140796512644232,5.270758296468211,-20.439767605188365,2.2321943274314933,29,79,4.920265003623741,63637.239544595854,-6.191270722587754,20.048765382673277,186005.18544752497,0.33163779378007807,1055.129616165168,34.01671565393854
0.663487962876056,6.989850260838915,-26.695880374408652,18.70958587701071,36,40,5.011749939907221,29574.410378956407,-3.190327797896523,23.154973581198796,203630.60295334324,0.3886399924197578,682.1230647538674,40.29354824889447
2.784185707590925,3.922870091552084,23.80149265550429,17.160504486326857,17,86,6.590330844023154,87668.64538875286,-0.9822878844613694,21.316332064934578,210629.8704353568,0.2514599683235734,925.4426317715703,67.25399546144115
3.951149184759592,7.941491869303408,-24.80735974796135,-17.352676944806273,39,59,4.550861992218076,60637.587718463226,5.125891170915464,24.087441558749596,215631.479369632,0.3246194832886224,901.0300964839195,38.63345665037967
1.1831679840979488,5.239810321113162,-13.049601216116951,6.972613157611285,36,88,4.7056073481214575,49123.77356863781,8.019507300482644,21.18717028166473,189608.5030185942,0.23241834052263288,973.668606502369,26.948851331223054
4.78659779656629,2.039502471039865,-25.37726734098981,0.7207659008795204,25,43,7.319768881189355,62359.13938551235,4.936290948661259,18.21962878745772,182738.79436758318,0.3592336362616875,948.3883383513029,38.86497489675835
4.686553218764736,7.641143462336319,-17.41966584389604,29.74925929366173,34,49,4.51819620340134,78675.20552124639,3.4523085863417418,24.166466282501773,183453.03221379512,0.31422695217226193,862.435136393192,56.73503021572518
2.5196834375299106,4.014737062989424,-7.067927647042463,10.580501732212205,36,54,4.157843241962754,16233.216297335799,-3.7453797974278924,24.362567870401346,201876.74060925638,0.38953977648023086,656.7194046367403,28.094460508847725
4.251085280270998,6.413327152916946,4.318043087904165,3.7940080618785714,25,67,5.2364977740113625,23798.658411683267,-3.0454514551524277,22.45115191174081,218297.76964519673,0.2950370254543643,691.4545649109608,39.243787958180604
4.312106023891076,7.144995400147167,7.867782305124102,13.628780001576459,32,80,3.6320007708326347,10050.857287189692,5.6794697891942185,22.014506460508766,205160.56318018457,0.35141579837806997,712.8304638984407,17.59231723497075
0.9337448240959605,4.84980995798747,-15.656075193216257,-21.27102195269671,35,48,6.2256015141503775,70233.54768954593,-6.831519955930025,21.108835636832033,213164.6098878484,0.24953900473066568,1034.8224169317139,33.20029365369594
0.33500263598534774,3.7193530868913802,-19.74400813528659,-26.555265591854862,27,52,5.139357624000021,70710.86168424746,-3.3380405513541938,23.68239417802022,209996.48834734032,0.27444837646626025,861.8295902631671,56.52889572321745
1.9947754123670218,7.770022258227883,-18.265634037425293,-0.9783747554880051,23,63,4.238869149729295,52472.48961953266,-0.27349698453627447,22.388304166249018,198384.98585229108,0.2676485147986013,917.5341049968915,52.25470740548504
4.0498563975334285,7.9838136551695085,7.905954188012387,-13.515955519495243,34,62,6.608414716994281,16718.11584244373,-8.622955439618288,24.61796845530752,207000.1567004144,0.37284347372483423,642.2148857384943,18.35701318230504
1.5313621924362044,7.641940705742803,-28.076800983038254,-5.17796597881312,18,63,6.059718060252269,67269.59666541693,-8.577203954717314,24.361043049734196,185551.71553019655,0.2251440695389864,1086.4036227296895,29.139358742375585
2.923950116031475,4.040029747795321,9.246309978403026,2.2101433521264084,36,59,2.9241498685192946,30286.74918252228,-5.0908681192743765,19.107652697509536,201261.75821051045,0.3299421954203141,1274.9542352333522,23.261683699063713
0.4682438814110692,5.618235722399835,-29.64139891620094,-9.974252771240966,20,66,6.368927728580186,30782.113134205083,5.4561859039070075,21.991256814397047,208664.38973071094,0.2732218936748092,737.8225208703201,30.771902497271626
3.8021876023961223,3.4267349068524533,-3.6031717732831403,28.410624826371944,33,76,2.8145952976226,30858.35100416789,-5.289162926480186,24.19898102149716,192462.49247331757,0.3275177828021347,989.451509805881,27.949285565118686
2.3103754801168024,3.426014179503908,-16.04331023099719,0.6423620525987701,25,50,7.229048968558498,44948.45983444667,-9.359956201961252,18.67348329954864,207696.76120240433,0.31177237363139365,1183.405376342986,20.869715153623197
1.3963138647107194,5.5788983048916805,6.8098157667102015,22.382257053774623,27,56,5.65776796743881,67542.62538763911,6.340622581445025,24.13480501854974,211179.54514571797,0.33080028503558145,1125.2829005913238,33.83059499883136
0.5215156940871406,5.836436580615242,27.312709068966164,16.598943161394956,27,61,7.213110449501397,82926.54240733446,7.349993285622357,18.98567869635189,215311.51486182658,0.34172987842704206,1151.2196033330272,33.01446265544476
2.6840776223143905,6.6349330837183516,4.973906257894939,-14.17404927792603,30,50,2.2243368546965785,71549.0251800065,1.3774330522690796,21.250377628684056,198895.0938290945,0.299240461403257,1594.0413268742068,46.29379300057709
3.037512734231082,4.481629908012704,-3.4039471532481684,1.8093337187520078,21,43,6.562609034710319,84771.67048442144,7.693087629000882,24.877983392874707,190071.57055189577,0.37873409511259176,1378.5929907586467,30.138551191296987
